;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
1;Acox1;ACOX1;increase;increased gene expression;mRNA;acoustic nerve;mouse;C57BL/6;male;100,00;;n/a;n/a;2;8;n/a;n/a;months;10.1016/j.bbadis.2013.10.017;n/a;;;;;
2;Adamts1;ADAMTS1;increase;increased gene expression;mRNA;acoustic nerve;mouse;C57BL/6;both;30,00;;n/a;n/a;4;11;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
3;Adamts1;ADAMTS1;increase;increased gene expression;mRNA;acoustic nerve;mouse;C57BL/6;both;96,00;;n/a;n/a;4;23.5;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
4;Akt1s1;AKT1S1;decrease;decreased gene expression;mRNA;acoustic nerve;mouse;C57BL/6;female;-47,04;<0.01;n/a;n/a;6;24;n/a;n/a;months;10.1002/cbf.3539;n/a;;;;;
5;Apc;APC;decrease;decreased gene expression;mRNA;acoustic nerve;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
6;Apc;APC;decrease;decreased gene expression;mRNA;aorta;mouse;C57BL/6J;male;-45,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
7;Atp5o;ATP5O;increase;increased gene expression;mRNA;aorta;mouse;wild type;both;105,70;;n/a;n/a;5;24;n/a;n/a;months;10.1016/j.jid.2018.02.023;n/a;;;;;
8;Bad;BAD;increase;increased gene expression;mRNA;aorta;mouse;SAMP8;male;58,30;;n/a;n/a;2;10;n/a;n/a;months;10.1089/rej.2011.1166;n/a;;;;;
9;Bak1;BAK1;increase;increased gene expression;mRNA;aortic valves;mouse;C57BL/6J;both;108,00;;n/a;n/a;5;15;n/a;n/a;months;10.1073/pnas.0908786106;n/a;;;;;
10;Birc5;BIRC5;decrease;decreased gene expression;mRNA;aortic valves;mouse;C57BL/6;both;-65,00;;n/a;n/a;3;13;n/a;n/a;months;10.1111/j.1474-9726.2012.00816.x;n/a;;;;;
11;Bmi1;BMI1;decrease;decreased gene expression;mRNA;aortic valves;mouse;C57BL/6J;both;-60,00;;n/a;n/a;2;24;n/a;n/a;months;10.1371/journal.pone.0031870;n/a;;;;;
12;Brca1;BRCA1;decrease;decreased gene expression;mRNA;aortic valves;mouse;FVB;female;-50,00;;n/a;n/a;4.5;11.5;n/a;n/a;months;10.1126/scitranslmed.3004925;n/a;;;;;
13;Brca2;BRCA2;increase;increased gene expression;mRNA;aortic valves;mouse;FVB;female;160,00;;n/a;n/a;4.5;11.5;n/a;n/a;months;10.1126/scitranslmed.3004925;n/a;;;;;
14;Btrc;BTRC;decrease;decreased gene expression;mRNA;astrocytes;mouse;C57BL/6J;male;-20,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
15;Btrc;BTRC;decrease;decreased gene expression;mRNA;astrocytes;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
16;C1qb;C1QB;increase;increased gene expression;mRNA;bone;mouse;C57BL/6N;n/a;n/a;;n/a;n/a;6;24;n/a;n/a;months;10.1016/j.exger.2018.05.001;n/a;;;;;
17;C1qb;C1QB;increase;increased gene expression;mRNA;bone;mouse;C57BL/6J;male;230,00;;n/a;n/a;91;910;n/a;n/a;days;10.1371/journal.pgen.1000161;n/a;;;;;
18;C1qb;C1QB;increase;increased gene expression;mRNA;bone;mouse;C57BL/6J;female;110,00;;n/a;n/a;91;910;n/a;n/a;days;10.1371/journal.pgen.1000161;n/a;;;;;
19;Cacna1a;CACNA1A;decrease;decreased gene expression;mRNA;bone;mouse;C57BL/6;both;-25,00;;n/a;n/a;21;22;n/a;n/a;months;10.1016/j.jns.2011.03.010;n/a;;;;;
20;Cacna1a;CACNA1A;increase;increased gene expression;mRNA;bone;mouse;C57BL/6;both;25,00;;n/a;n/a;12;15;n/a;n/a;months;10.1016/j.jns.2011.03.010;n/a;;;;;
21;Cacna1a;CACNA1A;increase;increased gene expression;mRNA;bone;mouse;C57BL/6;both;34,00;;n/a;n/a;12;21;n/a;n/a;months;10.1016/j.jns.2011.03.010;n/a;;;;;
22;Ccn4;CCN4;decrease;decreased gene expression;mRNA;bone;mouse;C57BL/6J;male;-58,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
23;Ccn4;CCN4;decrease;decreased gene expression;mRNA;bone;mouse;C57BL/6J;male;-50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
